Supplier_ID,Supplier_Name,Contact_Person,Contact_Email,City,State
S001,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
S002,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
S003,Circuit Solutions,Mark Johnson,mark@circuitsolutions.com,San Francisco,CA
S004,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
S005,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
S006,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
S007,HealthTech Supplies,Peter Clark,peter@healthtech.com,Miami,FL
S008,Auto Electronics Pro,Daniel Evans,daniel@autoelectronics.com,Detroit,MI
S009,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
S010,Sports Tech Gear,Michael Harris,michael@sportstechgear.com,Denver,CO
